8,11,4,11,11,6,5,7,12,4,4,8,9,3,11,2792,3112,531,208,115,56,37,28,23,13,15,9,15,12,8,13,43,318,333,166,60,28,18,14,7,10,8,8,10,12,10,9,8,4,6,10,14,9,4,7,5,12,12,7,8,10,5,8,9,5,9,6,9,8,3,14,4,11,10,12,14,15,5,11,11,10,6,8,8,12,7,7,5,11,8,2,9,9,9,6,11,8,6,6,5,15,12,9,11,8,6,8,11,10,6,6,11,7,7,9,10,11,13,10,1,4,10,6,4,6,6,3,7
10,2,7,12,5,5,14,7,11,6,11,8,8,4,21,1525,1591,241,94,71,44,23,23,17,19,14,17,11,9,9,12,94,1782,1744,393,116,57,29,23,11,12,6,8,11,7,7,14,14,7,9,13,13,13,11,10,12,6,8,16,13,11,15,15,8,8,7,8,8,10,12,10,16,17,11,11,8,6,7,14,8,6,13,8,14,8,14,10,8,8,7,9,10,13,11,6,8,10,11,4,10,8,10,10,10,7,7,8,8,7,7,12,11,7,4,4,13,8,6,8,9,9,13,12,6,12,9,8,3
14,11,3,12,6,1,4,12,9,12,6,5,7,9,218,2005,973,188,83,42,31,25,16,12,17,18,18,6,8,16,16,224,977,891,192,43,32,25,18,16,14,6,14,8,10,5,14,9,10,17,10,3,9,8,11,8,12,9,9,13,13,14,8,14,9,6,10,5,9,13,9,10,6,6,5,5,10,9,7,9,9,9,6,9,11,11,6,8,7,10,8,10,5,10,11,7,11,3,9,3,7,5,13,10,14,12,7,5,8,12,12,12,4,12,7,5,4,8,9,6,8,8,8,15,7,7,5,7
15,21,15,16,12,18,20,22,16,19,14,16,5,26,260,2177,1057,193,105,60,37,36,29,29,23,21,18,20,23,18,158,4238,3066,600,237,96,64,31,19,17,27,10,19,22,15,22,23,25,16,17,18,24,20,19,16,21,26,29,26,19,14,23,12,18,25,13,20,18,16,15,18,25,20,19,27,16,24,23,20,18,25,16,10,25,16,28,17,27,22,10,12,18,23,19,13,22,21,10,26,15,12,23,20,17,17,25,17,23,15,15,15,17,12,18,8,16,18,20,15,18,14,15,19,18,17,12,10,18
17,13,21,22,12,21,12,17,21,21,16,22,22,23,29,1511,1573,248,124,63,52,29,32,25,29,22,23,22,24,32,19,58,1300,1907,569,153,78,42,32,18,23,17,13,15,23,19,21,22,23,24,16,19,20,15,21,17,25,23,18,26,31,21,21,20,23,15,18,16,23,19,25,18,19,22,14,20,22,17,21,17,14,22,16,19,30,18,14,23,22,22,13,27,18,17,21,21,21,22,22,25,19,19,17,20,17,19,24,15,18,14,12,18,14,18,18,13,15,19,16,17,21,20,16,22,11,15,20,16
10,17,5,13,8,10,7,7,5,4,3,7,9,9,11,1628,1713,301,122,69,40,29,25,15,23,7,12,11,9,9,7,89,1121,1047,226,92,39,31,9,17,10,6,1,8,8,13,11,13,8,10,10,10,12,8,6,11,14,6,13,11,11,16,9,8,6,16,5,10,8,8,13,3,12,6,7,10,10,10,7,10,6,10,11,5,7,9,16,7,10,9,11,6,10,13,6,7,5,8,8,6,12,4,9,7,7,12,11,8,6,7,11,9,7,11,13,9,6,5,10,16,10,6,7,10,12,10,10,11
19,14,10,10,12,13,11,20,14,14,13,12,16,8,133,2127,1273,218,97,48,44,25,29,21,18,16,17,15,16,7,18,144,560,577,166,64,34,27,17,13,16,14,11,6,23,15,16,12,14,17,15,12,8,12,11,18,14,13,19,13,20,18,13,11,16,18,19,13,19,19,11,15,11,14,20,17,12,13,12,17,19,14,13,15,6,20,15,20,11,14,11,10,17,9,8,16,7,14,17,16,14,13,14,12,11,16,9,8,11,15,9,10,16,17,11,12,14,13,8,15,14,13,17,13,11,12,9,9
9,5,5,5,5,8,8,6,8,8,12,8,7,5,766,2625,767,161,77,47,46,37,15,12,11,8,13,14,13,13,50,271,399,225,56,35,20,14,8,13,15,5,7,10,11,12,10,9,14,13,11,5,6,7,13,8,10,5,14,12,12,10,8,11,6,15,7,12,14,10,10,6,7,11,10,8,10,6,7,4,8,11,8,13,11,5,11,11,6,8,10,8,8,5,8,7,9,7,11,5,5,8,11,8,9,8,9,9,9,8,4,5,7,7,6,3,6,9,4,5,4,5,12,6,8,8,7,9
8,8,5,15,6,4,5,7,6,3,12,8,4,8,11,3174,3793,597,236,117,53,49,27,29,10,18,18,12,13,13,13,39,326,317,104,45,26,20,14,11,6,6,10,8,6,7,10,8,9,5,5,12,9,11,10,5,13,12,12,8,10,12,7,15,6,10,8,6,6,11,11,8,10,6,10,6,4,9,10,5,3,8,9,4,14,4,10,8,3,9,10,9,6,6,8,7,7,11,10,9,10,9,5,6,6,5,8,4,11,5,14,9,5,8,6,4,5,9,8,9,6,5,10,12,11,7,8,2
8,8,6,4,19,6,10,7,14,9,7,8,14,14,14,1260,1333,195,73,51,28,23,14,16,17,9,15,12,8,14,12,154,2471,2130,441,149,63,45,19,11,12,9,13,7,11,11,10,10,9,10,11,14,10,12,10,15,9,11,8,9,16,13,7,17,10,8,10,9,8,6,8,15,15,11,8,15,6,12,11,6,13,9,10,3,3,8,12,7,10,10,3,10,4,11,5,14,13,11,9,10,7,12,7,8,10,12,12,13,11,9,9,7,10,6,5,12,5,9,3,4,10,6,6,9,11,7,11,12
