5,3,6,4,5,3,1,10,7,5,8,3,4,4,17,1833,2123,366,151,70,82,456,600,569,1655,1593,623,160,89,42,35,26,16,8,8,10,5,9,9,13,25,23,17,7,10,9,8,8,5,9,11,4,5,7,8,3,7,6,7,12,10,7,5,9,8,7,7,6,11,5,2,10,7,3,4,6,8,6,6,5,8,16,7,4,4,5,7,7,8,3,7,4,4,12,5,3,6,6,7,6,7,9,5,6,5,5,4,6,3,6,4,10,6,3,5,7,12,6,8,7,5,3,8,9,6,3,9,1
12,7,6,3,2,9,4,5,11,11,3,11,7,8,152,1621,844,156,61,39,2469,12632,6074,1242,546,260,137,76,42,28,22,18,14,17,6,15,9,13,15,14,12,11,15,19,16,12,7,17,11,13,7,7,14,7,10,8,9,6,9,8,7,7,5,9,12,5,5,7,6,8,5,7,8,7,10,9,4,5,4,8,11,3,5,8,8,8,10,5,4,8,5,9,5,14,11,8,1,6,10,4,5,9,7,4,5,6,6,9,6,6,12,6,12,7,7,6,8,4,10,13,10,7,8,5,6,4,14,7
24,22,25,36,28,41,31,36,23,22,32,26,31,17,363,3747,1951,382,148,103,252,613,575,2156,3380,1594,500,214,117,68,56,49,44,45,40,34,40,30,30,44,38,36,41,29,28,29,36,31,39,25,37,41,32,34,38,26,32,26,22,20,25,15,23,34,21,20,29,33,29,26,36,31,22,31,25,20,23,33,24,23,26,30,22,23,25,29,30,36,23,32,33,33,32,22,22,25,34,32,31,29,25,42,26,28,17,26,22,16,31,33,24,21,24,26,26,19,33,18,30,24,24,27,24,28,12,31,20,22
13,11,14,9,13,7,10,11,11,11,13,13,17,14,20,1088,1358,231,101,58,914,22001,18732,3487,1303,583,304,156,91,51,40,28,21,33,13,22,20,21,20,16,18,19,23,28,14,14,9,11,13,11,14,11,22,12,8,18,13,16,12,10,16,14,10,17,13,15,11,13,13,12,5,15,9,12,7,8,5,15,17,10,12,10,13,8,11,8,13,13,9,13,7,11,14,12,12,11,13,19,9,19,10,12,9,9,19,15,12,11,8,14,15,7,9,8,12,10,13,3,8,17,9,10,11,15,8,11,9,10
9,5,4,7,7,7,15,4,8,4,5,4,13,7,12,1953,2170,396,146,81,85,571,716,536,1005,1057,394,114,55,32,22,15,13,15,11,14,10,17,12,8,13,14,14,14,4,16,5,13,14,11,3,13,4,7,14,9,6,8,14,7,6,5,13,2,5,7,6,7,16,8,9,5,11,4,5,6,3,10,9,4,5,7,6,9,7,12,10,4,8,12,6,4,5,5,6,11,12,6,8,6,7,9,5,11,5,6,4,6,7,4,7,2,4,8,6,3,5,10,8,8,4,13,8,5,3,7,4,4
8,7,6,4,3,1,8,23,5,8,8,8,8,10,89,1603,965,173,72,36,740,7270,4698,1024,407,235,92,64,32,29,18,18,16,12,9,12,12,20,11,18,15,11,14,10,8,8,5,6,9,15,7,7,4,6,6,10,9,6,6,7,7,2,6,15,10,7,12,7,8,10,7,6,5,12,3,4,8,9,13,12,4,8,7,4,6,7,6,8,6,5,4,8,8,8,12,3,10,7,14,6,6,6,2,6,9,9,13,9,10,11,12,9,5,6,3,4,6,11,6,4,4,7,2,6,8,3,9,4
9,7,9,6,4,5,9,7,3,3,4,7,6,5,746,2764,833,189,106,74,572,971,695,727,409,142,59,34,18,16,15,16,12,9,6,8,12,14,10,10,9,13,7,6,6,6,4,6,7,9,9,5,14,6,4,3,9,8,9,6,8,7,6,4,13,5,9,5,2,7,10,10,7,8,5,11,5,8,8,2,2,8,5,9,9,9,6,10,6,8,8,11,13,7,8,2,5,6,4,6,6,6,4,7,4,5,4,4,9,6,6,7,2,4,9,2,4,6,7,4,3,6,2,5,10,8,5,8
10,3,7,2,6,9,4,7,5,4,4,8,9,6,12,2603,3123,529,207,100,94,923,1332,688,373,206,100,67,37,20,15,13,16,12,14,8,13,9,11,7,12,8,12,10,16,8,10,12,4,7,9,11,2,9,6,6,8,4,5,5,7,10,9,4,4,13,12,7,5,7,11,14,8,4,13,11,7,8,9,3,6,4,4,3,8,11,8,8,4,5,6,7,8,8,4,5,3,11,4,9,5,7,5,2,5,5,5,6,8,8,5,7,9,2,7,3,3,12,7,5,8,10,4,4,9,4,4,6
8,9,9,9,8,4,5,4,8,4,10,12,4,10,13,1516,1580,246,101,65,67,408,833,3611,4194,1454,418,183,103,57,25,30,17,16,12,11,12,12,14,12,7,6,13,11,10,10,9,10,13,11,6,11,9,8,4,8,11,8,3,6,13,7,9,9,6,11,5,9,5,9,9,9,3,8,7,4,6,7,8,9,3,7,3,11,9,5,8,11,6,3,7,6,4,9,7,5,5,7,9,6,5,8,2,2,4,5,11,8,10,11,7,7,11,11,6,6,7,6,9,1,7,4,9,4,6,5,5,5
11,5,5,7,4,12,7,9,9,4,10,4,5,2,168,1974,1005,199,89,46,3251,7888,2433,719,385,192,82,58,42,23,29,19,17,13,8,12,13,15,14,10,15,19,10,6,12,12,6,8,9,9,7,9,9,7,7,8,6,8,6,6,6,10,8,7,5,8,5,7,7,8,5,9,6,3,5,4,5,10,5,9,9,5,4,7,0,4,11,9,6,10,6,16,7,7,10,2,7,6,4,5,6,8,10,9,14,7,8,13,6,6,3,8,10,8,10,3,10,9,7,7,4,6,4,8,7,7,6,3
